userid,board_name,board_size,board_type,condition,solved,action,time,time_rel,player,time_rel_sec,score_move,move_ranking,top_possible_score,second_possible_score,num_possible_moves,delta_score,potential_score,path,move_prob,path_prob,path_number,board_state,position,path_after,time_from_action,time_from_click,prev_action,move_number,move_number_in_path,first_move_in_path,time_prev_action,solution
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,22648,1,22.648,1.182428182,17,27.32553855,23.22222222,68,1.182428182,0,[],0.008463339,0.008463339,1,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",6_2,"[[6, 2, 1]]",22.627,0,,1,1,TRUE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,reset,1.59E+12,33219,1,33.219,1.182428182,,,,,-1.182428182,0,"[[6, 2, 1]]",0.008463339,7.16E-05,1,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 1, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",,"[[6, 2, 1]]",10.571,10.571,click,,1,,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,34344,1,34.344,23.22222222,1,27.32553855,23.22222222,68,23.22222222,100,[],0.166212542,0.166212542,2,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",1_8,"[[1, 8, 1]]",1.125,11.696,reset,2,1,TRUE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,38637,2,38.637,10,0,10,-100,67,-33.22222222,24.74957483,"[[1, 8, 1]]",1,0.166212542,2,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",1_9,"[[1, 8, 1], [1, 9, 2]]",4.293,4.293,click,3,2,FALSE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,43460,1,43.46,0.0625,33,24.74957483,22.11111111,66,10.0625,0,"[[1, 8, 1], [1, 9, 2]]",0.000670022,0.000111366,2,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 1, 2], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",0_9,"[[1, 8, 1], [1, 9, 2], [0, 9, 1]]",4.823,4.823,click,4,3,FALSE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,reset,1.59E+12,46519,1,46.519,0.0625,,,,,-0.0625,0,"[[1, 8, 1], [1, 9, 2], [0, 9, 1]]",0.000670022,7.46E-08,2,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 1], [0, 0, 0, 0, 2, 1, 1, 1, 1, 2], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",,"[[1, 8, 1], [1, 9, 2], [0, 9, 1]]",3.059,3.059,click,,3,,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,55450,1,55.45,0,37,27.32553855,23.22222222,68,0,0,[],1.43E-07,1.43E-07,3,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 2, 2, 2, 0, 0]]",9_4,"[[9, 4, 1]]",8.931,11.99,reset,5,1,TRUE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,58224,2,58.224,21.17361111,2,43.45442318,24.38424271,67,-21.17361111,10,"[[9, 4, 1]]",0.169227486,2.42E-08,3,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 2, 2, 2, 0, 0]]",9_8,"[[9, 4, 1], [9, 8, 2]]",2.774,2.774,click,6,2,FALSE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,59121,1,59.121,10,0,10,-100,66,31.17361111,0,"[[9, 4, 1], [9, 8, 2]]",1,2.42E-08,3,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 2, 2, 2, 2, 0]]",9_9,"[[9, 4, 1], [9, 8, 2], [9, 9, 1]]",0.897,0.897,click,7,3,FALSE,1.59E+12,j9
10488,10_easy_full,10,easy,full,solvedCorrect,click,1.59E+12,61408,2,61.408,0,35,43.45442318,24.38424271,65,-10,27.32553855,"[[9, 4, 1], [9, 8, 2], [9, 9, 1]]",1.90E-07,4.60E-15,3,"[[0, 0, 0, 0, 1, 0, 2, 0, 0, 0], [0, 0, 0, 0, 2, 1, 1, 1, 0, 0], [0, 0, 0, 1, 2, 2, 2, 1, 0, 0], [0, 0, 0, 2, 2, 1, 1, 2, 1, 1], [2, 0, 0, 1, 0, 2, 2, 0, 0, 0], [1, 0, 0, 0, 0, 0, 0, 0, 0, 0], [1, 1, 0, 0, 0, 0, 0, 0, 0, 0], [2, 2, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 0, 0, 1, 0, 0, 0], [0, 0, 0, 0, 1, 2, 2, 2, 2, 1]]",8_3,"[[9, 4, 1], [9, 8, 2], [9, 9, 1], [8, 3, 2]]",2.287,2.287,click,8,4,FALSE,1.59E+12,j9
